"db","lgbm","svm","rf","dt","knn","xgb","xrf","svml","lr","ridge","passive","lda","qda","nb","gbm","mlp"
"analcatdata_authorship",0.988235294117647,0.988235294117647,1,0.917647058823529,0.988235294117647,0.988235294117647,0.988235294117647,0.976470588235294,1,1,0.976470588235294,1,0.929411764705882,1,0.988235294117647,0.988235294117647
"analcatdata_authorship",1,1,1,0.94047619047619,1,1,0.988095238095238,1,1,1,1,1,0.94047619047619,1,1,1
"analcatdata_authorship",1,1,1,0.988095238095238,1,0.988095238095238,1,1,1,1,1,1,0.916666666666667,0.976190476190476,1,1
"analcatdata_authorship",0.976190476190476,0.988095238095238,0.976190476190476,0.892857142857143,0.988095238095238,0.976190476190476,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,0.880952380952381,0.964285714285714,0.988095238095238,0.976190476190476
"analcatdata_authorship",0.988095238095238,1,1,0.904761904761905,1,0.988095238095238,0.976190476190476,0.988095238095238,1,1,1,0.988095238095238,0.904761904761905,0.988095238095238,0.976190476190476,0.988095238095238
"analcatdata_authorship",0.976190476190476,1,0.988095238095238,0.880952380952381,1,0.964285714285714,0.964285714285714,0.988095238095238,1,1,1,1,0.928571428571429,1,0.964285714285714,1
"analcatdata_authorship",0.988095238095238,1,1,0.964285714285714,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,1,1,1,1,0.928571428571429,0.988095238095238,0.988095238095238,1
"analcatdata_authorship",0.988095238095238,1,0.988095238095238,0.916666666666667,0.988095238095238,0.988095238095238,0.964285714285714,0.988095238095238,1,1,0.988095238095238,1,0.916666666666667,0.988095238095238,0.976190476190476,1
"analcatdata_authorship",0.976190476190476,1,1,0.916666666666667,1,0.988095238095238,0.976190476190476,1,1,1,1,1,0.892857142857143,0.988095238095238,0.976190476190476,1
"analcatdata_authorship",0.976190476190476,0.976190476190476,0.964285714285714,0.928571428571429,1,0.988095238095238,0.964285714285714,1,1,1,1,1,0.916666666666667,0.988095238095238,0.988095238095238,0.988095238095238
"analcatdata_boxing1",0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.583333333333333,0.75,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.583333333333333,0.75,0.666666666666667
"analcatdata_boxing1",0.583333333333333,0.666666666666667,0.416666666666667,0.583333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.333333333333333,0.416666666666667,0.583333333333333,0.583333333333333,0.666666666666667,0.583333333333333
"analcatdata_boxing1",0.833333333333333,0.666666666666667,0.833333333333333,0.75,0.75,0.833333333333333,0.833333333333333,0.75,0.75,0.75,0.25,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.75
"analcatdata_boxing1",0.916666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.916666666666667,0.916666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,1,0.833333333333333
"analcatdata_boxing1",0.75,0.666666666666667,0.916666666666667,1,0.833333333333333,0.916666666666667,0.916666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.75,0.916666666666667,0.75
"analcatdata_boxing1",0.666666666666667,0.666666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.75,0.75,0.666666666666667,0.916666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"analcatdata_boxing1",0.916666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5
"analcatdata_boxing1",0.75,0.666666666666667,0.833333333333333,0.75,0.75,0.833333333333333,0.75,0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.833333333333333,0.75,0.833333333333333,0.75,0.833333333333333
"analcatdata_boxing1",0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.75,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.5
"analcatdata_boxing1",0.75,0.583333333333333,0.583333333333333,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,0.75,0.75,0.666666666666667,0.583333333333333,0.75
"analcatdata_boxing2",0.928571428571429,0.785714285714286,0.857142857142857,0.857142857142857,0.714285714285714,0.928571428571429,0.857142857142857,0.571428571428571,0.571428571428571,0.571428571428571,0.428571428571429,0.571428571428571,0.5,0.571428571428571,0.928571428571429,0.642857142857143
"analcatdata_boxing2",0.857142857142857,0.785714285714286,0.571428571428571,0.642857142857143,0.571428571428571,0.642857142857143,0.642857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.5,0.714285714285714,0.571428571428571,0.642857142857143,0.714285714285714,0.571428571428571
"analcatdata_boxing2",0.615384615384615,0.692307692307692,0.538461538461538,0.461538461538462,0.615384615384615,0.538461538461538,0.615384615384615,0.769230769230769,0.846153846153846,0.846153846153846,0.538461538461538,0.846153846153846,0.846153846153846,0.769230769230769,0.538461538461538,0.692307692307692
